title,company,salary,work,place,skills,decriptions
Junior Android Developer,Motorist Pte Ltd,500 - 800 USD,At office,Ho Chi Minh,"Android, Java, Kotlin, ",
Junior Backend Developer (Ruby On Rails/MySQL),Motorist Pte Ltd,"500 - 1,700 USD",At office,Ho Chi Minh,"Ruby on Rails, AWS, MySQL, ",
Chuyên viên Kiểm thử tự động - Automation Tester,MB Bank,You'll love it,At office,Ha Noi,"Automation Test, Java, Tester, ",
Business Analyst/ Product Owner - Up to $2500,Alpaca Vietnam,You'll love it,Hybrid,Ha Noi,"Business Analyst, Product Owner, Agile, ",
Tester/ QA QC Engineer (Performance Testing),Smart Pay,You'll love it,At office,Ho Chi Minh,"QA QC, Automation Test, Tester, ",
Backend Python Developer (Odoo),N.A.M,Negotiable,Hybrid,Ho Chi Minh,"Python, Odoo, MySQL, ",
Mobile App Developer (Android/iOS/Flutter/React Native),CÔNG TY CỔ PHẦN TQC SOLUTION,"1,000 - 1,700 USD",At office,Ha Noi,"Android, iOS, Flutter, ",
Junior/Senior Backend Developer (Golang),Công Ty TNHH Stack Tech,"800 - 1,500 USD",At office,Ho Chi Minh,"Golang, NoSQL, SQL, ",
React Native Developer,HDWEBSOFT,Negotiable salary,At office,Ho Chi Minh,N/A,"Company trips/ short trips, Laptops/ Macbooks, Review salary every six months, "
Executive Systems Architect,Surbana Technologies Pte. Ltd.,"1,000 - 4,000 USD",Hybrid,Ho Chi Minh,"Software Architect, Project Manager, Manager, ",
Full-Stack Developer,TMA Solutions,You'll love it,At office,Ho Chi Minh,"ReactJS, NodeJS, VueJS, ",
Senior Automation QA Engineer (C#),EUROFINS GSC IT VIETNAM COMPANY LIMITED,You'll love it,Hybrid,Ho Chi Minh,"Automation Test, C#, QA QC, ",
Threat Intelligence Analyst (Cybersecurity),EUROFINS GSC IT VIETNAM COMPANY LIMITED,You'll love it,Remote,Ho Chi Minh,"Python, Risk Management, Security, ",
Senior-Lead Software Engineer (.NET CORE),EUROFINS GSC IT VIETNAM COMPANY LIMITED,You'll love it,Hybrid,Ho Chi Minh,".NET, JavaScript, SQL, ",
Software Engineer (.NET WPF),EUROFINS GSC IT VIETNAM COMPANY LIMITED,You'll love it,Hybrid,Ho Chi Minh,"C#, SQL, .NET, ",
Automation QA Engineer (C#),EUROFINS GSC IT VIETNAM COMPANY LIMITED,You'll love it,Hybrid,Ho Chi Minh,"Automation Test, C#, QA QC, ",
QA Team Leader,Surbana Technologies Pte. Ltd.,"999 - 2,900 USD",Hybrid,Ho Chi Minh,"Jira, QA QC, ",
"Senior System Engineer (Python, C/C++, Embedded)",Arbin Instruments,"1,000 - 2,000 USD",At office,Ho Chi Minh,"System Engineer, Embedded, C++, ",
"Senior Full-stack Developer (C# ASP.NET, React)",Arbin Instruments,You'll love it,At office,Ho Chi Minh,"C#, ASP.NET, ReactJS, ",
Senior iOS Developer (Swift),MAPLE LABS,"1,000 - 2,500 USD",At office,Ho Chi Minh,"iOS, Swift, ",
Junior/Senior Frontend Developer (ReactJS),Fullerton Health,"1,000 - 2,300 USD",At office,Ho Chi Minh,"ReactJS, TypeScript, JavaScript, ",
"Shopify Developer (Nodejs, Reactjs, HTML, English)",IMT Solutions,"2,000 - 3,000 USD",At office,Ho Chi Minh,"Shopify, JavaScript, NodeJS, ",
QC Tester (Manual/ Automation Test),TechSoft,"1,000 - 2,000 USD",At office,Da Nang,"QA QC, Tester, Automation Test, ",
Manual QA Tester (QA QC),Công ty Cổ phần Công nghệ SIS SOFT,You'll love it,At office,Ho Chi Minh,"QA QC, IT Support, Tester, ",
Business Analyst,Công ty Cổ phần Công nghệ SIS SOFT,You'll love it,At office,Ho Chi Minh,"Business Analyst, Data Analyst, Business Intelligence, ",
Mid/Senior QC Engineer (Tester),Orient Software Development Corp.,You'll love it,Hybrid,Ho Chi Minh - Ha Noi - Da Nang,"QA QC, Automation Test, C#, ","Attractive Package and Dedication bonus, Hybrid and flexible working environment, Working directly with Agile global teams, "
Senior .Net Developer (C#),Capgemini Vietnam,You'll love it,At office,Ho Chi Minh,"C#, .NET, English, ","Health insurance covered for employee & dependent, Technical seminars and soft skill training courses, Professional and dynamic working environment, "
Web/App Dev (ReactJS/ React Native)[Manila/Malaysia],ISMART.ASIA TECHNOLOGY,Onsite: 1200usd – 3000usd,At office,Ho Chi Minh - Ha Noi - Da Nang,"React Native, ReactJS, TypeScript, ","Hỗ trợ 100% chi phí đi lại và nhà ở, Tiền thưởng cuối năm, Hỗ trợ xin visa, "
Middle/Senior Business Analyst,MB Ageas Life,"1,500 - 2,000 USD",At office,Ha Noi,"Business Analyst, SQL, Agile, ","Competitive salary with 14-month minimum package, MIC Premium Healthcare, Life & Cancer Insurance, 15 days for annual leave & wellness allowance, "
